Date	ZoneLoadforContainerFPVAV19	PlenumTemperatureforContainerFPVAV19	
42440.4479166667	16200	174.11	
42440.4583333333	16524	-846.509999999998	
42440.4791666667	19440	123.99	
42440.4895833333	18144	160.565	
42440.5	17820	277.54	
42440.5104166667	14256	177.87	
42440.5416666667	16524	270.400000000001	
42440.5520833333	18144	-772.259999999998	
42440.5625	18792	-423.690000000001	
42440.5729166667	19440	129.79	
42440.5833333333	12312	212.203333333334	
42440.6145833333	14580	599.389999999999	
42440.625	18792	-778.779999999999	
42440.65625	11340	-1152.04	
42440.6875	20412	-180.35	
42440.6979166667	19764	218.32	
42443.375	19764	58	
42443.3854166667	21384	-54.3971428571427	
42443.3958333333	20088	-97.8000000000002	
42443.40625	21708	646.029999999999	
42443.4166666667	21708	-228.389999999999	
42443.46875	21384	-159.43	
42443.5	21060	-437.139999999999	
42443.5104166667	21060	528.919999999998	
42443.53125	21060	531.91	
42443.5416666667	17172	314.290000000001	
42443.5625	20736	412.809999999998	
42443.5833333333	22356	-110.6	
42443.59375	18468	-53.1299999999996	
42443.6145833333	21060	-328.779999999999	
42443.625	22032	258.82	
42443.6354166667	21384	432.74	
42443.65625	19440	208.480000000001	
42443.6666666667	20736	-521.420000000002	
42443.6875	14580	371.37	
42443.6979166667	14580	418.889999999999	
42444.375	17172	59.5	
42444.3854166667	19116	-77.0799999999997	
42444.3958333333	17820	-1021.59	
42444.4270833333	18792	-217.73	
42444.4375	18792	-234.9	
42444.4583333333	20736	-242.48	
42444.46875	20412	209.68	
42444.4791666667	19764	-602.189999999999	
42444.4895833333	18468	456.33	
42444.5104166667	19116	481.16	
42444.5208333333	19116	488.610000000001	
42444.5416666667	20088	316.26	
42444.5520833333	20736	-301.689999999999	
42444.5625	21060	-151.56	
42444.5729166667	18792	301.54	
42444.5833333333	17820	-235.920000000001	
42444.59375	18792	-185.920000000001	
42444.6041666667	19764	-265.639999999999	
42444.6354166667	16524	-833.970000000001	
42444.6458333333	18792	-751.189999999999	
42444.6666666667	20412	681.91	
42444.6875	18468	295.110000000001	
42445.375	19764	57	
42445.3854166667	21060	-44.7550000000001	
42445.4166666667	22356	-338.810000000001	
42445.4375	20412	580.25	
42445.4479166667	19116	367.92	
42445.4583333333	20412	616.130000000001	
42445.46875	21060	651.51	
42445.4791666667	16524	341.610000000001	
42445.4895833333	11664	-697.529999999999	
42445.5	13608	905.68	
42445.5104166667	17172	176.82	
42445.53125	18468	704.34	
42445.5416666667	14580	-612.740000000002	
42445.5625	18468	-129.359999999999	
42445.5729166667	20412	610.150000000001	
42445.5833333333	20412	598.190000000002	
42445.59375	15228	706.84	
42445.625	21060	612.639999999999	
42445.6354166667	21060	546.860000000001	
42445.6979166667	10368	-531.950000000001	
42446.375	18144	58.5	
42446.3854166667	20412	-123.88	
42446.3958333333	18468	-174.82	
42446.40625	19116	355.99	
42446.4270833333	19116	-348.190000000001	
42446.4375	20088	-138.94	
42446.4479166667	19764	-656.369999999999	
42446.4583333333	20736	358.97	
42446.4791666667	20088	-69.9200000000001	
42446.5	20412	-103.59	
42446.5104166667	20736	181.56	
42446.5208333333	20736	198.07	
42446.5416666667	15228	-136.03	
42446.5729166667	17820	-289.809999999999	
42446.5833333333	13284	1249.53	
42446.59375	19116	423.050000000001	
42446.6041666667	20412	-560.049999999999	
42446.6145833333	21060	-219.83	
42446.625	13932	-697.02	
42446.6666666667	20088	-316.240000000002	
42446.6770833333	13284	-894.68	
42446.6875	15876	467.27	
42446.6979166667	19116	-177.329999999999	
42447.375	20412	57	
42447.3854166667	20736	-87.4599999999999	
42447.3958333333	18792	265.94	
42447.4166666667	18468	-410.1	
42447.4270833333	18468	-256.62	
42447.4375	18468	889.720000000001	
42447.4479166667	20412	631.080000000002	
42447.46875	19116	24.8899999999994	
42447.4895833333	19116	-296.85	
42447.5	20412	-217.82	
42447.5208333333	19116	-537.98	
42447.53125	8748	-1237.33	
42447.5416666667	13608	-1120.43	
42447.5625	21060	-165.469999999999	
42447.59375	18468	-546.509999999998	
42447.6041666667	20412	-54.0999999999998	
42447.6145833333	21060	158.47	
42447.6354166667	7452	-1371.78	
42447.6458333333	16848	548.719999999999	
42447.6666666667	21060	-277.610000000001	
42447.6979166667	18792	560.82	
42450.375	10692	64.5	
42450.3854166667	14580	80.9374193548388	
42450.40625	16524	360.98	
42450.4166666667	16524	-288.809999999999	
42450.4270833333	17172	345.58	
42450.4375	19116	372.389999999999	
42450.4479166667	19764	-51.5800000000003	
42450.4583333333	20736	-542.490000000002	
42450.46875	21708	119.69	
42450.4791666667	19764	350.530000000001	
42450.4895833333	20088	-90.4399999999996	
42450.5	20088	-137.93	
42450.5104166667	19764	340.1	
42450.5208333333	19764	-186.110000000001	
42450.53125	19764	541.380000000001	
42450.5416666667	19764	-137.93	
42450.5520833333	19764	223.32	
42450.5625	19440	-217.82	
42450.5729166667	18792	-197.190000000001	
42450.5833333333	20412	238.66	
